Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags
UMMALINE PTE. LTD.,2019,,Pre-seed,,
IOTA MEDTECH PTE. LTD.,2017,,Pre-seed,Medtech; AI; Healthcare,
1ST MEDTECH PTE. LTD.,2016,,Pre-seed,Medtech,
BINANCE ASIA SERVICES PTE. LTD.,2018,,Pre-seed,Fintech; Blockchain,
XEN TECHNOLOGIES PTE. LTD.,2018,,Pre-seed,Fintech,
DUMPSTERZ PTE LTD,2018,,Pre-seed,Others,
Morpheus Labs Pte Ltd,2017,,Pre-seed,Infotech; Blockchain,
3E Memtech Pte Ltd,2018,,Pre-seed,Urban Solutions,
Jolly Companion Limited,2017,,Pre-seed,Healthcare,
Threatspan Pte Ltd,2019,,Pre-seed,Infotech,
Lucence Life Sciences Pte Ltd,2018,,Pre-seed,Biotech; Healthcare,
Codefolio Pte Ltd,2019,,Pre-seed,Education,
METALOOP INNOVATION LABS PTE. LTD.,2018,,Pre-seed,Fintech; Infocomm Tech,
SPARROW TECH PRIVATE LIMITED,2018,,Pre-seed,Fintech; Blockchain,
CREATIVE GALILEO PTE. LTD.,2019,,Pre-seed,Education,
TIFFINLABS PTE. LTD.,2020,,Pre-seed,E-Commerce; Food & Beverage,
Fefifo,2017,,Pre-seed,Agritech,
Butleric PTE. LTD.,2018,,Pre-seed,AI; Enterprise Solutions; Data Analysis,
Pulsifi pte LTD,2016,,Pre-seed,AI; SaaS,
VUE REALITY LABS PTE. LTD.,2021,,Pre-seed,,
ASA TECH PTE. LTD.,2017,,Pre-seed,,
THE BOND ANALYST PTE. LTD.,2020,,Pre-seed,,
TUTOROO PTE. LTD.,2017,,Pre-seed,,
HR EASILY PTE. LTD.,2017,,Pre-seed,,
D'OATH CORPORATE ADVISORY PTE. LTD.,2018,,Pre-seed,,
HALLASAN PTE. LTD.,2020,,Pre-seed,,
EVEREST DESIGN STUDIO (PTE. LTD.),2022,,Pre-seed,,
ENSURO PTE. LTD.,2021,,Pre-seed,Fintech; Blockchain,
WHOLESELECT TECHNOLOGY PTE. LTD.,2020,,Pre-seed,Infotech; Retail; Supply Chain & Logistics,
INDORSE PTE. LTD.,2017,,Pre-seed,,
TRIPLE A TECHNOLOGIES PTE. LTD.,2017,,Pre-seed,,
AUTOARMOUR PTE. LTD.,2017,,Pre-seed,,
ATC FINETR SOFTWARE PTE. LTD.,2017,,Pre-seed,,
MARKETNODE PTE. LTD.,2021,,Pre-seed,,
SWIVELT PTE. LTD.,2018,,Pre-seed,,
TECHCHOIX PTE. LTD.,2018,,Pre-seed,,
AQILLIZ PTE. LTD.,2019,,Pre-seed,,
WONDERCHAT PRIVATE LIMITED,2019,,Pre-seed,,
PIXIEPOINT SECURITY PTE. LTD.,2019,,Pre-seed,,
PIXELCRAFT STUDIOS PTE. LTD.,2020,,Pre-seed,,
VAULTEX PTE. LTD.,2018,,Pre-seed,,
DHOST PTE. LTD.,2020,,Pre-seed,,
NORTHWEST INDUSTRIAL LOGISTICS PTE. LTD.,2019,,Pre-seed,,
AND WHYTE PTE. LTD.,2016,,Pre-seed,,
BANK-GENIE PTE. LIMITED,2016,,Pre-seed,,
PAIRX BIO PTE. LTD.,2020,,Pre-seed,,
SLASH ADVANCE PTE. LTD.,2024,,Pre-seed,,
GENETECH BIOTECHNOLOGY PTE. LTD.,2018,,Pre-seed,,
