Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags,Website,Notes
ARCHES PTE. LTD.,2019,,Seed,Infocomm Tech,,https://arches-global.com/corporate/index,
LEXAGLE PTE. LTD.,2019,,Pre-seed,,,https://www.lexagle.com/,
AI PALETTE,2018,11 - 50,Pre-seed,Food Science and Technology; AI; Data Analysis; Big Data,"Foodtech, AI",https://www.aipalette.com/,
MAGORIUM PTE. LTD.,2019,1 - 10,Pre-seed,Urban Solutions; Others,Sustainability; Technology; waste plastic,http://www.magorium.com,
District Technologies,2017,11 - 50,Pre-seed,Gaming; Events; Digital Health; Entertainment; Lifestyle,health fitness run explore app,https://www.exploredistrict.com,
SILENCE LABORATORIES PTE. LTD.,2019,1 - 10,Seed,Infotech; AI; Fintech; Infocomm Tech; IoT,AUTHENTICATION; multi-factor; NBU; seamless security,http://silencelaboratories.com/,
EXPLICO PTE. LTD.,2019,11 - 50,Seed,Education,Edtech Assessment Learning School Education ; E-Learning; Learning Platform; onlineplatform; online-assessment ; examinationsystem,https://www.explico.sg,
FIXTUREGRAM PTE. LTD.,2019,1 - 10,Pre-seed,AI; Maritime; Supply Chain & Logistics; SaaS,bulk shipping,http://www.fixturegram.com,
TRAVELHORSE TECH PTE. LTD.,2020,1 - 10,Pre-seed,Transport; Travel & Hospitality; Supply Chain & Logistics; Urban Solutions; IoT,#luggage; #storage; #luggagestorage,https://www.travelhorse.co,
SUSGAIN PTE. LTD.,2020,1 - 10,Pre-seed,Infocomm Tech; Urban Solutions; Lifestyle,Sustainability; environmental impact; social impact; mobile app,https://susgain.com/,
ZOID LABS PTE. LTD.,2017,,Pre-seed,,,https://www.zoidlabs.com,
ESGpedia,2019,11 - 50,Pre-series A,AI; Fintech; Enterprise Solutions; Cleantech; Others,Green Building Technology; Emission Control; Eco Monitoring Technologies,https://stacs.io,
SUNPRIME SEMILLAS PTE. LTD.,2017,11 - 50,Pre-seed,Agritech; Biotech; Supply Chain & Logistics; Urban Solutions; Others,Seed; Organic Farming; Controlled Environment Agriculture; Genetic Engineering; Smart Farming; Microbiology; Soil Technology; Fertilisers; Bringing the farm to your table. ,http://www.sunprimeint.com,
FU TIEN PTE. LTD.,2019,1 - 10,Pre-seed,Food Science and Technology; Agritech; Urban Solutions; Food Manufacturing & Processing,urban farming; hydroponics; vertical; indoor,http://www.futien.com.sg,
ULAVI TECHNOLOGIES PTE. LTD.,2016,1 - 10,Pre-seed,Transport; Travel & Hospitality; SaaS,"Airport Transfers, Mobility, SaaS, Food Delivery, Ground Transfers",https://www.ulacab.com,
MANABIE INTERNATIONAL PRIVATE LIMITED,2019,101 - 200,Seed,Education,,https://manabie.com/,
HYPERHAUL PTE. LTD.,2018,1 - 10,Pre-seed,Infotech; Transport; AI; SaaS,Haulage,https://www.hyperhaul.com,
THUNES ASIA PRIVATE LIMITED,2019,,Series B,,,https://www.thunes.com/,
GUDANGADA INVESTMENT PTE. LTD.,2019,,Series A,,,https://www.gudangada.id/,
ESPORTS PTE. LTD.,2019,,Seed,,,https://espl.co/,
TICKENDY SINGAPORE PTE. LTD.,2020,1 - 10,Seed,Retail; AI; Fintech; Data Analysis; Big Data,Retail,https://web.tickendy.com/,
Lendor,2020,1 - 10,Pre-seed,Consumer Electronics; E-Commerce; Urban Solutions; Cleantech; SaaS,Circular Economy; Sharing Economy; Consumer Electronics; E-Commerce,https://lendor.sg,
NEXTGEN INFOTECH PTE. LTD.,2018,1 - 10,Pre-seed,AI; Infocomm Tech; SaaS; Cloud; Big Data,IT Support; Cloud Migration; Cybersecurity; Web Development; Mobile App Dev; IT COnsultancy,https://nextgenit.sg,
LEADIQ SINGAPORE PTE. LTD.,2016,11 - 50,Series A,Infotech,,https://leadiq.com/,
QRITIVE PTE. LTD.,2017,11 - 50,Series A,Medtech; Biotech; AI; Healthcare; Data Analysis,Digital Pathology; AI,http://www.qritive.com/,
SZONE MEDICAL PTE. LTD.,2019,1 - 10,Pre-seed,Medtech,Healthcare,https://www.trendlines.com/company/szone/,
CENTENAL PTE. LTD.,2017,1 - 10,Pre-seed,Fintech,FinTech; Regtech; Wealthtech; corporate innovation; AML; CRS; Customer Lifecycle Management; Compliance; Financial Institution; Smart Contract,https://www.centenal.com/,
CHIA FOODS PTE. LTD.,2020,1 - 10,Pre-seed,Food & Beverage; E-Commerce; Lifestyle; Food Manufacturing & Processing,#food#healthysnacks#lifestyle,http://jiayo.sg,
REVOLUT TECHNOLOGIES SINGAPORE PTE. LTD.,2017,,Series E,,,https://www.revolut.com/en-SG/,
PARTIPOST PTE. LTD.,2016,,Series A,,,http://www.partipost.com,
BOTSYNC PTE. LTD.,2017,,Seed,,,https://www.botsync.co/,
DISTRIBUTED LEDGER TECHNOLOGIES (DLT) PTE. LTD.,2018,,Series A,,,https://www.dlt.sg/,
EIGENFORM PTE. LTD.,2019,1 - 10,Seed,AI; SaaS; Data Analysis; Big Data,Data Analysis,https://eigenform.ai/,
XENNEXIS PTE. LTD.,2018,1 - 10,Pre-seed,Adtech; Infotech; Infocomm Tech,Application Development; Web Development,https://www.xennexis.com,
ZOLUTION PTE. LTD.,2019,,Pre-seed,,,https://www.zolution.co,
KIAST PTE. LTD.,2017,11 - 50,Pre-seed,Medtech; Precision Engineering; Biotech; Cleantech; Nanotechnology,Optics & Photonics,https://www.kiast-sg.com,
OKGLOBAL COIN SWITCH PTE. LTD.,2019,,Pre-seed,,,https://okglobalcoinsg.com,
SEVENTH SENSE ARTIFICIAL INTELLIGENCE PRIVATE LIMITED,2019,1 - 10,Pre-seed,AI; Real Estate; Infocomm Tech; Urban Solutions; IoT,video analytics; Facial recognition ; Vision AI; Edge Processing; Biometrics; Video Processing; Covid Solutions; biometric; digital identity; face recognition,https://www.seventhsense.ai,
ETAVOLT PTE. LTD.,2019,1 - 10,Pre-seed,Cleantech,Photovoltaics; Solar cell,http://www.etavolt.com,
CLOUD MILE PTE. LTD.,2018,,Pre-seed,,,,
REALLY PTE. LTD.,2019,11 - 50,Seed,,,https://www.really.sg/,
Syfe,2018,11 - 50,Series A,Fintech,Wealth Management; Risk Management; Investing; Investment; Asset Management,https://www.syfe.com,
GOCOMET SOLUTIONS PTE. LTD.,2018,11 - 50,Pre-seed,Transport; E-Commerce; Supply Chain & Logistics; SaaS,logistics; E-Commerce; SaaS,https://www.gocomet.com,
FINANCIAL BUTLER PTE. LTD.,2019,,Pre-seed,,,https://www.financialbutler.asia,
Knotz,2018,1 - 10,Pre-seed,Retail; E-Commerce,weddings; Retail; digitalisation; marketplace; Platform; Digital Marketing,https://www.knotz.sg/,
SINGROW PTE. LTD.,2019,1 - 10,Pre-seed,Agritech; IoT,Smart Farming; Precision Agriculture; Controlled Environment Agriculture,https://www.singrow.sg,
REAL IMPACT,2019,1 - 10,Pre-seed,Urban Solutions; Cleantech; IoT; Data Analysis; Big Data,Eco Monitoring Technologies; Data Analysis; Impact Certification; Zero Waste; Sustainability; Innovation,https://www.real.xyz/,
BANAHUB,2019,11 - 50,Series B,Education; Food Science and Technology; Gaming; Enterprise Solutions; Infocomm Tech,launch; Gamification; Entrepreneurship; Incubation; acceleration; startup; scaleup; Shiftup; Investing; vc,https://www.banahub.com/,
86LINKS (SINGAPORE) PTE. LTD.,2017,101 - 200,Seed,Infotech; E-Commerce; Real Estate; Enterprise Solutions; Big Data,industrial park; Recomendation Engine; E-Commerce,http://www.86links.com,
